license_number,business_dba_name,CEID,license_type,LicenseStatus,premise_county,id,licensing_authority_id,licensing_authority,license_designation,premise_state,license_status_date,license_term,issue_date,expiration_date,business_legal_name,business_owner_name,business_structure,business_email,activity,parcel_number,business_image_url,business_phone,business_website,data_refreshed_date,premise_street_address,premise_city,delivery,license_status,premise_latitude,premise_longitude,premise_zip_code
33757554276109168008,Thc Production Llc,RP017,Retail Production,Active,Clark,33757554276109168008,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,THC PRODUCTION LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
33766980341791854561,Tahoe Hydroponics Company Llc,T078,Retail Distributor,Active,Carson City,33766980341791854561,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TAHOE HYDROPONICS COMPANY LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
34243875109059614286,Wscc Inc,RD111,Retail Dispensary,Active,Washoe,34243875109059614286,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WSCC INC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
34263205217337694441,Mr H Las Vegas Llc,C126,Medical Cultivation,Non-Operational,Clark,34263205217337694441,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MR H LAS VEGAS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
34497079237706414213,Nye Natural Medicinal Solutions Llc,RP107,Retail Production,Active,Nye,34497079237706414213,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NYE NATURAL MEDICINAL SOLUTIONS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
34561668875912663393,Healthcare Options For Patients Enterprises Llc,RP064,Retail Production,Active,Clark,34561668875912663393,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,HEALTHCARE OPTIONS FOR PATIENTS ENTERPRISES LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
34621288823827225440,Wscc Inc,RC099,Retail Cultivation,Active,Washoe,34621288823827225440,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WSCC INC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
34652970986411553293,Mmof Vegas Retail Inc,D078,Medical Dispensary,Active,Clark,34652970986411553293,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MMOF VEGAS RETAIL INC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
34770158846525926783,Acres Medical Llc,RP011,Retail Production,Active,Clark,34770158846525926783,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ACRES MEDICAL LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
34783954003475226897,Lettucetest Llc,RL006,Retail Laboratory,Active,Clark,34783954003475226897,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LETTUCETEST LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
35051929286907100905,Qualcan Llc,RC055,Retail Cultivation,Active,Clark,35051929286907100905,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,QUALCAN LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
35113918658385474933,3480 Hacienda Partners Llc,RP035,Retail Production,Active,Clark,35113918658385474933,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,3480 HACIENDA PARTNERS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
35704589564199030274,Silver Black Attack Llc,C014,Medical Cultivation,Active,Clark,35704589564199030274,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SILVER BLACK ATTACK LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
35741015061896328515,The Bakery Llc,RP084,Retail Production,Non-Operational,Clark,35741015061896328515,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,THE BAKERY LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
35921128494419615677,Pure Tonic Concentrates Llc,RD456,Retail Dispensary,Active,Humboldt,35921128494419615677,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,PURE TONIC CONCENTRATES LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
36011146770937512646,Thompson Farm One Llc,RC156,Retail Cultivation,Active,Clark,36011146770937512646,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,THOMPSON FARM ONE LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
36017244910783299238,Nevada Group Wellness,C160,Medical Cultivation,Active,Clark,36017244910783299238,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NEVADA GROUP WELLNESS,,,,,,,,,2023-11-13 00:00:00,,,,,,,
36111143425969416428,Euphoria Wellness Llc,RP089,Retail Production,Active,Clark,36111143425969416428,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,EUPHORIA WELLNESS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
36161311931874315998,Serenity Wellness Growers Llc,C039,Medical Cultivation,Active,Clark,36161311931874315998,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SERENITY WELLNESS GROWERS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
36471481166286897722,Lettucetest Llc,L006,Medical Laboratory,Active,Clark,36471481166286897722,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LETTUCETEST LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
36506856230444373665,Twelve Twelve Llc,RC119,Retail Cultivation,Active,Clark,36506856230444373665,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TWELVE TWELVE LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
36777838109650438859,Zion Gardens Llc,C173,Medical Cultivation,Active,Clark,36777838109650438859,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ZION GARDENS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
36793887579714409224,Integral Cultivation Llc,C028,Medical Cultivation,Active,Clark,36793887579714409224,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,Integral Cultivation LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
36812277747948686823,Solace Enterprises Llc,RC076,Retail Cultivation,Active,Clark,36812277747948686823,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SOLACE ENTERPRISES LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
36845781847213708344,Matrix Nv Llc,RP095,Retail Production,Active,Clark,36845781847213708344,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MATRIX NV LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
36853260737760020901,Polaris Wellness Center Llc,RP114,Retail Production,Active,Clark,36853260737760020901,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,POLARIS WELLNESS CENTER LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
36940245239064189256,Wellness & Caregivers Of Nevada Nlv Llc,RP049,Retail Production,Active,Clark,36940245239064189256,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WELLNESS & CAREGIVERS OF NEVADA NLV LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
37194813876768896252,Nye Natural Medicinal Solutions Llc,T065,Retail Distributor,Active,Nye,37194813876768896252,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NYE NATURAL MEDICINAL SOLUTIONS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
37427068003234517417,Greenscape Productions Llc,C136,Medical Cultivation,Active,Clark,37427068003234517417,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENSCAPE PRODUCTIONS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
38120054593314237201,Lone Mountain Partners Llc,RP077,Retail Production,Active,Clark,38120054593314237201,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LONE MOUNTAIN PARTNERS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
38329603677293790867,Fswfl Llc,RC138,Retail Cultivation,Active,Clark,38329603677293790867,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,FSWFL LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
38420410922892257960,Green Life Productions Llc,RC146,Retail Cultivation,Active,Nye,38420410922892257960,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREEN LIFE PRODUCTIONS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
38678460390951542035,Rural Remedies Llc,C193,Medical Cultivation,Active,Lander,38678460390951542035,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,RURAL REMEDIES LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
38695553096347542299,Silver State Relief Llc,D002,Medical Dispensary,Active,Washoe,38695553096347542299,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SILVER STATE RELIEF LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
38745817872075144781,Nevada Holistic Medicine Llc,C046,Medical Cultivation,Active,Clark,38745817872075144781,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NEVADA HOLISTIC MEDICINE LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
39479860711356912732,Sensible Edibles Llc,P031,Medical Production,Active,Washoe,39479860711356912732,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SENSIBLE EDIBLES LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
39861948155685116262,Gravitas Henderson Llc,C016,Medical Cultivation,Active,Clark,39861948155685116262,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GRAVITAS HENDERSON LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
40050104995800309174,Cheyenne Medical Sammy Davis Rd263 Llc,RD263,Retail Dispensary,Active,Clark,40050104995800309174,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CHEYENNE MEDICAL SAMMY DAVIS RD263 LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
40056792267279269644,Green Life Productions Llc,T035,Retail Distributor,Active,Nye,40056792267279269644,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREEN LIFE PRODUCTIONS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
40154645776628662138,Circle S Farms Llc,P093,Medical Production,Active,Clark,40154645776628662138,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CIRCLE S FARMS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
40228523231066831947,High Sierra Holistics Llc,C108,Medical Cultivation,Active,Washoe,40228523231066831947,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,HIGH SIERRA HOLISTICS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
40297970315350477547,Serenity Wellness Products Llc,P024,Medical Production,Active,Clark,40297970315350477547,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SERENITY WELLNESS PRODUCTS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
40472676757320560321,Fidelis Holdings Llc,C132,Medical Cultivation,Active,Clark,40472676757320560321,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,FIDELIS HOLDINGS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
40733091629454751109,Nye Natural Medicinal Solutions Llc,C166,Medical Cultivation,Active,Nye,40733091629454751109,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NYE NATURAL MEDICINAL SOLUTIONS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
41146840808916745728,Cclv Production Llc,RP008,Retail Production,Active,Clark,41146840808916745728,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CCLV PRODUCTION LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
41150195756844080197,Qualcan Llc,P032,Medical Production,Active,Clark,41150195756844080197,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,QUALCAN LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
41491863218758323982,Trnvd670 Llc,RD670,Retail Dispensary,Active,Humboldt,41491863218758323982,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TRNVD670 LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
41977254523133526755,Jdw Nevada Llc,P029,Medical Production,Non-Operational,Clark,41977254523133526755,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,JDW NEVADA LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
42117353798137771623,Cn Licensco Iii Inc,C090,Medical Cultivation,Active,Clark,42117353798137771623,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CN LICENSCO III INC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
42243169362679005796,Green Cross Nevada Llc,P019,Medical Production,Non-Operational,Clark,42243169362679005796,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREEN CROSS NEVADA LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
42764648009006859903,Cn Licenseco I Inc,RC095,Retail Cultivation,Active,Clark,42764648009006859903,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CN LICENSECO I INC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
42779873098977009443,Greenmart Of Nevada Nlv Llc,RP018,Retail Production,Active,Clark,42779873098977009443,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENMART OF NEVADA NLV LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
42801984540428281831,Wellness & Caregivers Of Nevada Ii Llc,RC118,Retail Cultivation,Active,Clark,42801984540428281831,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WELLNESS & CAREGIVERS OF NEVADA II LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
42811321585035807243,Mmnv2 Holdings I Llc,P016,Medical Production,Active,Washoe,42811321585035807243,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MMNV2 HOLDINGS I LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
42836696676159179870,Circle S Farms Llc,RC148,Retail Cultivation,Active,Clark,42836696676159179870,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CIRCLE S FARMS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
42964757214640794936,Clark Nmsd Llc,RD187,Retail Dispensary,Active,Clark,42964757214640794936,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CLARK NMSD LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
43145225960370597103,Nlvg Llc,RP082,Retail Production,Active,Clark,43145225960370597103,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NLVG LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
43160131583347244176,Mj Distributing C202 Llc,RC202,Retail Cultivation,Active,Nye,43160131583347244176,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MJ DISTRIBUTING C202 LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
43239080077563699251,Helping Hands Wellness Center Inc,C147,Medical Cultivation,Active,Clark,43239080077563699251,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,HELPING HANDS WELLNESS CENTER INC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
43388435085849646312,Nevada Organic Remedies Llc,RD221,Retail Dispensary,Active,Nye,43388435085849646312,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NEVADA ORGANIC REMEDIES LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
43581723673753505053,Ded Ops Nv Llc,D010,Medical Dispensary,Active,Clark,43581723673753505053,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,DED OPS NV LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
43584126664097442476,Ssac D1 Llc,D060,Medical Dispensary,Non-Operational,Washoe,43584126664097442476,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SSAC D1 LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
43766627397168972639,Fidelis Holdings Llc,RD159,Retail Dispensary,Active,Clark,43766627397168972639,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,FIDELIS HOLDINGS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
44355437489463170392,Global Harmony Llc,C002,Medical Cultivation,Active,Clark,44355437489463170392,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GLOBAL HARMONY LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
44407285615214646945,Clear River Llc,P047,Medical Production,Active,Clark,44407285615214646945,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CLEAR RIVER LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
44563284956259379216,Lone Mountain Partners Llc,RD592,Retail Dispensary,Active,Clark,44563284956259379216,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LONE MOUNTAIN PARTNERS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
44593280192084310982,Cheyenne Medical Llc,RD028,Retail Dispensary,Active,Clark,44593280192084310982,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CHEYENNE MEDICAL LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
44613767467345472019,Deep Roots Harvest Inc.,RD165,Retail Dispensary,Active,Clark,44613767467345472019,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,DEEP ROOTS HARVEST INC.,,,,,,,,,2023-11-13 00:00:00,,,,,,,
44759297012276072166,Gsm Lv Llc,C085,Medical Cultivation,Non-Operational,Clark,44759297012276072166,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GSM LV LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
44883920913662445208,Premium Produce Llc,RC033,Retail Cultivation,Active,Clark,44883920913662445208,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,PREMIUM PRODUCE LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
44967653318399830596,Digipath Labs Inc,RL015,Retail Laboratory,Active,Clark,44967653318399830596,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,DIGIPATH LABS INC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
45124567643462616034,Kindibles Llc,RP007,Retail Production,Active,Clark,45124567643462616034,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,KINDIBLES LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
45189891649339997985,Cannavative Extracts Llc,P043,Medical Production,Active,Washoe,45189891649339997985,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CANNAVATIVE EXTRACTS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
45333337224974981554,High Sierra Holistics Llc,RD665,Retail Dispensary,Active,Lyon,45333337224974981554,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,HIGH SIERRA HOLISTICS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
45452459135682728564,Greenway Medical Llc,RC018,Retail Cultivation,Active,Clark,45452459135682728564,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENWAY MEDICAL LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
45491515276399795916,Jg Retail Services Nv Llc,D097,Medical Dispensary,Active,Washoe,45491515276399795916,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,JG RETAIL SERVICES NV LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
45550027572824324494,Nevada Pure Llc,RC026,Retail Cultivation,Active,Clark,45550027572824324494,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NEVADA PURE LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
45779336388196486818,Silver Black Attack Llc,RC014,Retail Cultivation,Active,Clark,45779336388196486818,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SILVER BLACK ATTACK LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
45830142734877997535,Unifern Llc,C179,Medical Cultivation,Active,Clark,45830142734877997535,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,UNIFERN LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
46002190780798707255,Silver Sage Wellness Llc,P022,Medical Production,Active,Clark,46002190780798707255,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SILVER SAGE WELLNESS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
46100778561169443516,G3 Labs Llc,RL007,Retail Laboratory,Active,Clark,46100778561169443516,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,G3 LABS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
46177828217679739988,Greenscape Productions Llc,RP080,Retail Production,Active,Clark,46177828217679739988,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENSCAPE PRODUCTIONS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
46723736766369616954,Cclv Manufacturing Center Llc,C135,Medical Cultivation,Active,Clark,46723736766369616954,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CCLV MANUFACTURING CENTER LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
46918722962994189103,Naturex Llc,D081,Medical Dispensary,Active,Clark,46918722962994189103,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NATUREX LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
46934338604709544132,Kynd-Strainz Llc,RD110,Retail Dispensary,Active,Washoe,46934338604709544132,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,KYND-STRAINZ LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
47094106326314465305,Carson City Agency Solutions Llc,RP070,Retail Production,Active,Carson City,47094106326314465305,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CARSON CITY AGENCY SOLUTIONS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
47182081583508846760,Mmof Vegas Retail 2 Inc,RD092,Retail Dispensary,Active,Clark,47182081583508846760,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MMOF VEGAS RETAIL 2 INC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
48154658590044707064,Nevada Group Wellness,RP103,Retail Production,Active,Clark,48154658590044707064,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NEVADA GROUP WELLNESS,,,,,,,,,2023-11-13 00:00:00,,,,,,,
48202177934598005793,Essence Tropicana Llc,RD317,Retail Dispensary,Active,Clark,48202177934598005793,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ESSENCE TROPICANA LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
48306359790925315497,Mj Distributing C202 Llc,C202,Medical Cultivation,Active,Nye,48306359790925315497,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MJ DISTRIBUTING C202 LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
48309202150183437033,Silver Sage Wellness Llc,RD049,Retail Dispensary,Active,Clark,48309202150183437033,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SILVER SAGE WELLNESS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
48365228256005962980,Mj Distributing P132 Llc,P132,Medical Production,Non-Operational,Lincoln,48365228256005962980,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MJ DISTRIBUTING P132 LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
48374211400455305846,Premium Produce Llc,P038,Medical Production,Active,Clark,48374211400455305846,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,PREMIUM PRODUCE LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
48405648915575781767,800 Stillwell Llc,P058,Medical Production,Active,Washoe,48405648915575781767,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,800 STILLWELL LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
48570745986570139944,Physis One Llc,RC073,Retail Cultivation,Active,Clark,48570745986570139944,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,PHYSIS ONE LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
48573289589249273073,Natural Medicine Llc,RD089,Retail Dispensary,Active,Clark,48573289589249273073,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NATURAL MEDICINE LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
48581446096638497899,Mbnv Gt Llc,RC082,Retail Cultivation,Active,Clark,48581446096638497899,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MBNV GT LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
48674538886388514490,Erp Llc,L008,Medical Laboratory,Active,Clark,48674538886388514490,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ERP LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
48846213406320567884,Tryke Companies Reno Llc,D026,Medical Dispensary,Active,Washoe,48846213406320567884,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TRYKE COMPANIES RENO LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
49035067150536429938,Waveseer Of Las Vegas Llc,RP053,Retail Production,Active,Clark,49035067150536429938,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WAVESEER OF LAS VEGAS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
49050217089132565292,Unifern Llc,RC179,Retail Cultivation,Active,Clark,49050217089132565292,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,UNIFERN LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
49462628591511007233,V6E Holdings Inc,T085,Retail Distributor,Non-Operational,Clark,49462628591511007233,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,V6E HOLDINGS INC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
49482059957736466451,Kayas Kitchen Llc,RP100,Retail Production,Active,Washoe,49482059957736466451,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,KAYAS KITCHEN LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
49544737589573795833,Gsm Lv Llc,RC085,Retail Cultivation,Non-Operational,Clark,49544737589573795833,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GSM LV LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
49664395053675917070,Greenpoint Nevada Inc,RC045,Retail Cultivation,Non-Operational,Washoe,49664395053675917070,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENPOINT NEVADA INC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
49710461487772387885,Medical Cannabis Healing Llc,P112,Medical Production,Active,Clark,49710461487772387885,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MEDICAL CANNABIS HEALING LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
49988620104464639364,Ymy Ventures Llc,RC051,Retail Cultivation,Active,Clark,49988620104464639364,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,YMY VENTURES LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
