business_legal_name,license_type,license_status,address,details_url,license_number,issue_date,expiration_date,business_owner_name,business_email,business_structure,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,premise_state,parcel_number,activity,business_image_url,business_website,business_phone,id,business_dba_name,data_refreshed_date
Bud in Bud out LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,3/9/2022,2/15/2025,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Bud in Bud out LLC,2024-02-06T00:46:51.386169
Before Daylite Farms,Cannabis Retailer,Active,"3228 Blake Road Southwest, Albuquerque, NM, 87105",,CCD-2022-0241-001,4/4/2022,4/4/2024,Casper Montoya,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0241-001,Before Daylite Farms,2024-02-06T00:46:51.386169
"Flowers and Herb Markets, Incorporated",Cannabis Retailer,Active,"119 San Pasquale Ave SW, Suite A, Albuquerque, NM, 87104",,CCD-2022-0174-001,3/22/2022,3/31/2024,"James DiPadua, Adria Mooney, James DiPadua, James DiPadua",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0174-001,"Flowers and Herb Markets, Incorporated",2024-02-06T00:46:51.386169
Sunshine pharm,Cannabis Retailer,Active,{FullAddress},,Premises License,2/7/2022,1/14/2025,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Sunshine pharm,2024-02-06T00:46:51.386169
CannaCoLLC,Cannabis Retailer,Active,"4212 4th St NW, Albuquerque, NM, 87107",,CCD-2022-0276-001,4/10/2022,4/10/2024,Peggy Martinez,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0276-001,CannaCoLLC,2024-02-06T00:46:51.386169
CannaCoLLC,Cannabis Retailer,Active,"2528 Coors Boulevard Southwest, Albuquerque, NM, 87121",,CCD-2022-0276-002,4/10/2022,4/10/2024,Peggy Martinez,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0276-002,CannaCoLLC,2024-02-06T00:46:51.386169
Desert Flower LLC,Cannabis Retailer,Active,"1308 W. Aztec Blvd, Aztec, NM, 87410",,CCD-2022-0185-001,3/23/2022,3/23/2024,Megan Wright,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0185-001,Desert Flower LLC,2024-02-06T00:46:51.386169
Sol Cannabis llc,Cannabis Retailer,Active,"900 South Telshor Boulevard, Las Cruces, NM, 88011",,CCD-VICE-2022-0022-RTLR-002,3/31/2022,3/31/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-VICE-2022-0022-RTLR-002,Sol Cannabis llc,2024-02-06T00:46:51.386169
Elevated Society LLC,Cannabis Retailer,Active,"402 N Compress, Las Cruces, NM, 88005",,Premises License,6/13/2022,6/13/2024,"Sergio Flores, Victor Duran Jr, Sabino Marquez",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Elevated Society LLC,2024-02-06T00:46:51.386169
Elevated Society LLC,Cannabis Retailer,Active,"375 N. Compress Rd., Las Cruces, NM, 88005",,Premises License,6/13/2022,6/13/2024,"Sergio Flores, Victor Duran Jr, Sabino Marquez",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Elevated Society LLC,2024-02-06T00:46:51.386169
LL MANAGEMENT LLC,Cannabis Retailer,Active,"3513 MAIN STREET, LOS LUNAS, NM, 87031",,Premises License,3/10/2022,3/10/2024,Anthoni Sullins,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,LL MANAGEMENT LLC,2024-02-06T00:46:51.386169
"DBGJR, LLC",Cannabis Retailer,Active,"109 West Last Rd., Capitan, NM, 88316",,CCD-2022-0213-001,3/27/2022,3/27/2024,Daniel Garcia,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0213-001,"DBGJR, LLC",2024-02-06T00:46:51.386169
The Pot Hole LLC,Cannabis Retailer,Active,"1623 SOUTH FIRST STREET, CLAYTON, NM, 88415",,CCD-2022-0172-001,3/22/2022,3/22/2024,BRITTNEY ARELLANO,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0172-001,The Pot Hole LLC,2024-02-06T00:46:51.386169
OCC ABQ LLC,Cannabis Retailer,Active,"2925 JUAN TABO BLVD NE, ALBUQUERQUE, NM, 87112",,CCD-2022-0091-001,2/28/2022,2/28/2025,"MARTIN RICHARDSON, JARROD FRIEDENBERG",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0091-001,OCC ABQ LLC,2024-02-06T00:46:51.386169
OCC ABQ LLC,Cannabis Retailer,Active,"426 E MAIN ST, FARMINGTON, NM, 87401",,CCD-2022-0091-003,2/28/2022,2/28/2025,"MARTIN RICHARDSON, JARROD FRIEDENBERG",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0091-003,OCC ABQ LLC,2024-02-06T00:46:51.386169
OCC ABQ LLC,Cannabis Retailer,Active,"141 Osuna Road Northeast, Suite 2, Albuquerque, NM, 87107",,CCD-2022-0091-007,2/28/2022,2/28/2025,"MARTIN RICHARDSON, JARROD FRIEDENBERG",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0091-007,OCC ABQ LLC,2024-02-06T00:46:51.386169
OCC ABQ LLC,Cannabis Retailer,Active,"1407 West 2nd Street, Roswell, NM, 88201",,CCD-2022-0091-008,2/28/2022,2/28/2025,"MARTIN RICHARDSON, JARROD FRIEDENBERG",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0091-008,OCC ABQ LLC,2024-02-06T00:46:51.386169
Smoking Crow Cannabis Company,Cannabis Retailer,Active,{FullAddress},,Premises License,3/22/2022,3/22/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Smoking Crow Cannabis Company,2024-02-06T00:46:51.386169
Puff on 66 LLC,Cannabis Retailer,Active,"912 E Route 66 BLVD, Tucumcari, NM, 88401",,CCD-2022-0267-001,4/9/2022,4/9/2024,"Jaclyn Dominguez, Rachel Hicklin, Michael Hicklin",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0267-001,Puff on 66 LLC,2024-02-06T00:46:51.386169
Cannaverse,Cannabis Retailer,Active,"2305 Nevada Ave, Las Cruces, NM, 88001",,CCD-2022-0215-001,3/27/2022,3/27/2024,"Richard Smith, Wendy Shill",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0215-001,Cannaverse,2024-02-06T00:46:51.386169
Bud Board Dispensary LLC,Cannabis Retailer,Active,"618 W Pierce, Carlsbad, NM, 88220",,CCD-2022-0216-001,3/27/2022,3/31/2025,Alexis Armendariz,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0216-001,Bud Board Dispensary LLC,2024-02-06T00:46:51.386169
"Sassy Grass, LLC",Cannabis Retailer,Active,"3100 West Picacho, Suite 2, Las Cruces, NM, 88007",,Premises License,6/30/2022,6/30/2024,"Ramsey Lengal, Richard Aziz, Ramsey Lengal, Dolores Navarrette Aziz, Ramsey Lengal",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Sassy Grass, LLC",2024-02-06T00:46:51.386169
Alto Growers LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,3/2/2022,3/2/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Alto Growers LLC,2024-02-06T00:46:51.386169
R Greenleaf Organics Inc,Cannabis Retailer,Active,{FullAddress},,Premises License,9/20/2021,9/20/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,R Greenleaf Organics Inc,2024-02-06T00:46:51.386169
911 Kronic,Cannabis Retailer,Active,"911 W Apache St, Farmington, NM, 87401",,Premises License,7/11/2022,7/11/2024,Phil Taylor,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,911 Kronic,2024-02-06T00:46:51.386169
"MJ Alta Vida Products, LLC",Cannabis Retailer,Active,"3094 San Mateo Blvd NE Ste 3100 B, Albuquerque, NM, 87110",,CCD-2022-0217-001,3/27/2022,3/27/2024,"Evangeline Jaramillo, Angelo Polaco, Marco Martinez, Judy Armijo",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0217-001,"MJ Alta Vida Products, LLC",2024-02-06T00:46:51.386169
"Budder Pros, LLC",Cannabis Retailer,Active,{FullAddress},,Premises License,3/21/2022,3/21/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Budder Pros, LLC",2024-02-06T00:46:51.386169
RED GORILLA GREENS,Cannabis Retailer,Active,"1100 4TH ST NW, UNIT C, ALBUQUERQUE, NM, 87102",,CCD-2022-0537-001,6/22/2022,6/22/2024,"RUBY ESPINOZA, RICARDO PAIZ, KEVIN MCMENEMY, KENT SIDLOW, DANIEL NOAH, TREY MURR",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0537-001,RED GORILLA GREENS,2024-02-06T00:46:51.386169
GREENE STREET HOLDINGS NEW MEXICO LLC,Cannabis Retailer,Active,"6301 Gibson Blvd, Albuquerque, NM, 87108",,Premises License,4/27/2022,4/27/2024,"Cobly Migicovsky, Colby Migicovsky, Adam Wolman, Jamil Myrie, Alexa Wolman",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,GREENE STREET HOLDINGS NEW MEXICO LLC,2024-02-06T00:46:51.386169
GREENE STREET HOLDINGS NEW MEXICO LLC,Cannabis Retailer,Active,"4460 E Lohman Ave, Suite 9, Las Cruces, NM, 88011",,Premises License,4/27/2022,4/27/2024,"Cobly Migicovsky, Colby Migicovsky, Adam Wolman, Jamil Myrie, Alexa Wolman",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,GREENE STREET HOLDINGS NEW MEXICO LLC,2024-02-06T00:46:51.386169
GREENE STREET HOLDINGS NEW MEXICO LLC,Cannabis Retailer,Active,"125 Lincoln Ave, Suite 103, Santa Fe, NM, 87501",,CCD-2022-0376-003,4/27/2022,4/27/2024,"Cobly Migicovsky, Colby Migicovsky, Adam Wolman, Jamil Myrie, Alexa Wolman",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0376-003,GREENE STREET HOLDINGS NEW MEXICO LLC,2024-02-06T00:46:51.386169
Primos Raw Organics,Cannabis Retailer,Active,{FullAddress},,Premises License,3/20/2022,3/20/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Primos Raw Organics,2024-02-06T00:46:51.386169
"Akeso Botanicals, LLC",Cannabis Retailer,Active,"910 Abbey Road, La Mesa, NM, 88044",,Premises License,12/27/2021,12/27/2024,"Hilda Chavez, Annemarie Losinno, Daniel Manuchia",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Akeso Botanicals, LLC",2024-02-06T00:46:51.386169
Gaia Traders,Cannabis Retailer,Active,"1330 Rufina Circle, Santa Fe, NM, 87507",,CCD-2022-0377-001,4/27/2022,4/27/2024,Gyana Basse,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0377-001,Gaia Traders,2024-02-06T00:46:51.386169
Prohibition 37,Cannabis Retailer,Active,{FullAddress},,Premises License,2/23/2022,9/20/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Prohibition 37,2024-02-06T00:46:51.386169
"Kustom Kush, LLC",Cannabis Retailer,Active,"7401 Central NE, Albuquerque, NM, 87108",,Premises License,5/4/2022,5/4/2024,Susan Gibson,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Kustom Kush, LLC",2024-02-06T00:46:51.386169
Canna Company,Cannabis Retailer,Active,"70 Dona Ana Rd Southwest, Deming, NM, 88030",,Premises License,2/10/2022,2/10/2024,"Jose Molina, Leo Aviles",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Canna Company,2024-02-06T00:46:51.386169
High-way 420 LLC,Cannabis Retailer,Active,"1895 Appaloosa Dr, Sunland Park, NM, 88063",,CCD-2022-0134-001,3/16/2022,3/16/2024,Aaron Elza,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0134-001,High-way 420 LLC,2024-02-06T00:46:51.386169
"Relief Station, LLC",Cannabis Retailer,Active,"509 Louisiana Blvd. SE, Albuquerque, NM, 87108",,CCD-2022-0381-001,4/28/2022,4/28/2024,Pavel Necsu,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0381-001,"Relief Station, LLC",2024-02-06T00:46:51.386169
MEDD LLC,Cannabis Retailer,Active,"205 Paloma Blanca, Chaparral, NM, 88081",,Premises License,4/12/2022,4/12/2024,"Manuel Cervantes, David Chavez, Ana Morales",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,MEDD LLC,2024-02-06T00:46:51.386169
Seven Leaf LLC,Cannabis Retailer,Active,"327 South Grand Ave, Las Vegas, NM, 87701",,CCD-2022-0657-001,7/28/2022,7/28/2024,Lisa Saiz,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0657-001,Seven Leaf LLC,2024-02-06T00:46:51.386169
"Freshbudz, LLC",Cannabis Retailer,Active,"1811 North Riverside Dr. Suite A, Española, NM, 87532",,Premises License,5/2/2022,5/2/2024,"Daniel Sanchez, Luis Diaz",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Freshbudz, LLC",2024-02-06T00:46:51.386169
Boutique High,Cannabis Retailer,Active,{FullAddress},,Premises License,3/22/2022,3/22/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Boutique High,2024-02-06T00:46:51.386169
SWEET GREENS INC,Cannabis Retailer,Active,{FullAddress},,Premises License,3/23/2022,3/23/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,SWEET GREENS INC,2024-02-06T00:46:51.386169
Orchid Mother,Cannabis Retailer,Active,{FullAddress},,Premises License,4/4/2022,4/4/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Orchid Mother,2024-02-06T00:46:51.386169
iCanna LLC,Cannabis Retailer,Active,"505 N. Valley Dr, Las Cruces, NM, 88005",,CCD-2022-0110-001,3/12/2022,3/12/2024,"Jose Zavala, Jose Zavala",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0110-001,iCanna LLC,2024-02-06T00:46:51.386169
"Deming Cannabis Company, LLC",Cannabis Retailer,Active,"1113 W Spruce Street, Deming, NM, 88030",,CCD-2022-0286-001,4/12/2022,4/12/2024,"Heraclio Martinez, Yazmeli Martinez, Fermin Jaquez",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0286-001,"Deming Cannabis Company, LLC",2024-02-06T00:46:51.386169
"Grandma's Pot Shop, LLC",Cannabis Retailer,Active,{FullAddress},,Premises License,3/13/2022,3/31/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Grandma's Pot Shop, LLC",2024-02-06T00:46:51.386169
PEAK HARVEST CANNABIS NEW MEXICO LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,9/12/2022,6/9/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,PEAK HARVEST CANNABIS NEW MEXICO LLC,2024-02-06T00:46:51.386169
M.R.R.S. LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,4/26/2022,4/26/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,M.R.R.S. LLC,2024-02-06T00:46:51.386169
1912 Cannabis Company LLC,Cannabis Retailer,Active,"1009 East 10th Street, Alamogordo, NM, 88310",,Premises License,4/30/2022,4/30/2024,"Joshua Livers, Joshua Livers, David Maldonado, Gabriel Arguelles, Joshua Livers, Joshua Livers, Joshua Livers",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,1912 Cannabis Company LLC,2024-02-06T00:46:51.386169
Flora Verde LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,3/24/2022,3/24/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Flora Verde LLC,2024-02-06T00:46:51.386169
"THe alChemist, LLC",Cannabis Retailer,Active,"115 West Main St., Farmington, NM, 87401",,Premises License,4/4/2022,4/4/2024,"Gregory Hill, Lena Hill, Meaghan Hill",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"THe alChemist, LLC",2024-02-06T00:46:51.386169
New Mexico Drip LLC,Cannabis Retailer,Active,"9012 Central Ave SE, Unit A, Albuquerque, NM, 87123",,CCD-2022-0278-001,4/10/2022,4/10/2024,Roberta Marshall,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0278-001,New Mexico Drip LLC,2024-02-06T00:46:51.386169
Grey Moon Operations LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,4/1/2022,2/7/2025,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Grey Moon Operations LLC,2024-02-06T00:46:51.386169
"Elevations 6969, LLC",Cannabis Retailer,Active,"212 Bendix St Unit E, Taos, NM, 87571",,Premises License,6/17/2022,6/17/2024,"Lawrence Atencio, Nicole Mora Atencio",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Elevations 6969, LLC",2024-02-06T00:46:51.386169
"HealthNotics, Inc.",Cannabis Retailer,Active,"330 S Church Street, Las Cruces, NM, 88001",,Premises License,4/30/2022,4/30/2024,"Geoffrey Lewis, Alfredo Garcia",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"HealthNotics, Inc.",2024-02-06T00:46:51.386169
Fickel Farms LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,3/27/2022,4/7/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Fickel Farms LLC,2024-02-06T00:46:51.386169
Stone Central Cannabis LLC,Cannabis Retailer,Active,"2015 U.S. Route 66 West, Suite 1, Moriarty, NM, 87035",,Premises License,4/30/2022,4/30/2024,Donna Smith,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Stone Central Cannabis LLC,2024-02-06T00:46:51.386169
The Jazz Club LLC,Cannabis Retailer,Active,"2100 Juan Tabo Blvd NE, Albuquerque, NM, 87112",,CCD-2022-0116-001,3/13/2022,3/13/2024,"Jared Glass, Drew Glass, Eddie Glass, Jared Glass",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0116-001,The Jazz Club LLC,2024-02-06T00:46:51.386169
Factory Direct Pipes & Recreational,Cannabis Retailer,Active,"321 W 7th St Ste B, Clovis, NM, 88101",,Premises License,4/30/2022,4/30/2024,"Sebastian Flores, Joseph Flores",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Factory Direct Pipes & Recreational,2024-02-06T00:46:51.386169
Red's Marijuana Shop LLC,Cannabis Retailer,Active,"207 Old Coors Dr SW, Albuquerque, NM, 87121",,CCD-2022-0135-001,3/16/2022,3/16/2024,"James Tafoya, Andrew Tafoya",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0135-001,Red's Marijuana Shop LLC,2024-02-06T00:46:51.386169
"VT Industries, LLC",Cannabis Retailer,Active,"320 W. River Street, Red River, NM, 87558",,Premises License,6/24/2022,6/24/2024,"Frank Venaglia, Noah Trodick",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"VT Industries, LLC",2024-02-06T00:46:51.386169
Zold LLC,Cannabis Retailer,Active,"205 Wheeler Ave, Texico, NM, 88135",,CCD-2022-0104-001,3/7/2022,3/7/2024,"Parin Kumar, Riddhi Bhakta",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0104-001,Zold LLC,2024-02-06T00:46:51.386169
Flowers' Flowers LC,Cannabis Retailer,Active,{FullAddress},,Premises License,5/7/2022,3/20/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Flowers' Flowers LC,2024-02-06T00:46:51.386169
Gurvitz White,Cannabis Retailer,Active,"26321 US HWY 70, Ruidoso Downs, NM, 88345",,Premises License,4/30/2022,4/30/2024,"Adam Gurvitz, Paige White",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Gurvitz White,2024-02-06T00:46:51.386169
Gurvitz White,Cannabis Retailer,Active,"2809 Sudderth, Unit A, Ruidoso, NM, 88345",,Premises License,4/30/2022,4/30/2024,"Adam Gurvitz, Paige White",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Gurvitz White,2024-02-06T00:46:51.386169
kijani corp,Cannabis Retailer,Active,"343 Wyoming Blvd NE, Albuquerque, NM, 87123",,CCD-2022-0115-001,3/13/2022,3/13/2024,ayaz chagani,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0115-001,kijani corp,2024-02-06T00:46:51.386169
Southwest Wellness Center,Cannabis Retailer,Active,{FullAddress},,Premises License,9/21/2021,9/21/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Southwest Wellness Center,2024-02-06T00:46:51.386169
VC Strains,Cannabis Retailer,Active,{FullAddress},,Premises License,4/30/2022,4/30/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,VC Strains,2024-02-06T00:46:51.386169
Couth Farms LLC,Cannabis Retailer,Active,"118 Anthony Dr, Anthony, NM, 88021",,Premises License,4/9/2022,4/9/2024,"Martha Flores, Oscar Bernal, Sergio Serna, Martha Flores, Emmanuel Flores",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Couth Farms LLC,2024-02-06T00:46:51.386169
"GUMA Natural Health, LLC",Cannabis Retailer,Active,{FullAddress},,Premises License,3/18/2022,3/18/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"GUMA Natural Health, LLC",2024-02-06T00:46:51.386169
"Luna Leaf, LLC",Cannabis Retailer,Active,{FullAddress},,Premises License,4/30/2022,4/16/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Luna Leaf, LLC",2024-02-06T00:46:51.386169
"Above Grade Craft Cannabis, LLC",Cannabis Retailer,Active,"1330 San Pedro Dr NE Suite 103, Albuquerque, NM, 87110",,CCD-2022-0292-001,4/12/2022,4/12/2024,Jessica Soto,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0292-001,"Above Grade Craft Cannabis, LLC",2024-02-06T00:46:51.386169
CASKCARA,Cannabis Retailer,Active,{FullAddress},,Premises License,4/30/2022,4/30/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,CASKCARA,2024-02-06T00:46:51.386169
High Horse Investment LLC,Cannabis Retailer,Active,"580 S Valley,  Suite 300, Las Cruces, NM, 88005",,Premises License,5/24/2022,5/24/2024,"Ruben Aguilar, Ruben Aguilar",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,High Horse Investment LLC,2024-02-06T00:46:51.386169
High Horse Investment LLC,Cannabis Retailer,Active,"545 S County Line Dr Ste B, Chaparral, NM, 88081",,CCD-2022-0441-002,5/24/2022,5/24/2024,"Ruben Aguilar, Ruben Aguilar",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0441-002,High Horse Investment LLC,2024-02-06T00:46:51.386169
High Horse Investment LLC,Cannabis Retailer,Active,"1128 S Solano, Las Cruces, NM, 88001",,CCD-2022-0441-003,5/24/2022,5/24/2024,"Ruben Aguilar, Ruben Aguilar",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0441-003,High Horse Investment LLC,2024-02-06T00:46:51.386169
High Horse Investment LLC,Cannabis Retailer,Active,"1685 N Main St, Las Cruces, NM, 88001",,CCD-2022-0441-004,5/24/2022,5/24/2024,"Ruben Aguilar, Ruben Aguilar",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0441-004,High Horse Investment LLC,2024-02-06T00:46:51.386169
OTC NM LLC,Cannabis Retailer,Active,"8920 Menaul Blvd NE, Albuquerque, NM, 87112",,Premises License,6/10/2022,6/10/2024,Norman Yousif,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,OTC NM LLC,2024-02-06T00:46:51.386169
Harvest Foundation,Cannabis Retailer,Active,{FullAddress},,Premises License,9/24/2021,9/24/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Harvest Foundation,2024-02-06T00:46:51.386169
Zia Dynasty's Treehouse,Cannabis Retailer,Active,{FullAddress},,Premises License,4/16/2022,4/16/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Zia Dynasty's Treehouse,2024-02-06T00:46:51.386169
"Rīzōm, LLC.",Cannabis Retailer,Active,{FullAddress},,Premises License,7/20/2022,7/7/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Rīzōm, LLC.",2024-02-06T00:46:51.386169
Root 66 Organix LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,7/21/2022,7/21/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Root 66 Organix LLC,2024-02-06T00:46:51.386169
Leaf Republic,Cannabis Retailer,Active,"127 HWY 314 NW, LOS LUNAS, NM, 87031",,CCD-2022-0320-001,4/16/2022,4/16/2024,Mohammed Darrabee,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0320-001,Leaf Republic,2024-02-06T00:46:51.386169
A Nice Dream inc,Cannabis Retailer,Active,{FullAddress},,Premises License,4/30/2022,4/30/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,A Nice Dream inc,2024-02-06T00:46:51.386169
MF Ellison LLC,Cannabis Retailer,Active,"3711 Ellison Rd NW, Albuquerque, NM, 87114",,CCD-2022-0321-001,4/17/2022,4/17/2024,"Winston Conkling, Kimberly Nanke",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0321-001,MF Ellison LLC,2024-02-06T00:46:51.386169
