application_status,license_type,application_classification,application_classification_1,application_classification_2,approved_license_type,commence_operations_date,license_status,license_number,business_legal_name,premise_city,establishment_zipcode,business_email,business_phone,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,issue_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,expiration_date,pmt_amount,lic_fee_amount,premise_zip_code,town,premise_county,county_lat,county_long,region,establishment_address_2,establishment_state,premise_latitude,premise_longitude,approved_se_number,ccclastupdated,business_dba_name,premise_state,licensing_authority_id,licensing_authority,business_structure,business_owner_name,parcel_number,business_image_url,business_website
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,2/1/2023,COMPLETE,MR283075,"Southcoast Apothecary, LLC",New Bedford,2746.0,,,115 Coggeshall Street,,New Bedford,MA,2746,POINT (-71.102131 41.778329),POINT (-70.921019 41.6562089),500 Totten Pond Road,,Waltham,MA,2451,83-3710769,MRN283075,Tue Jun 09 2020 09:21:32 GMT-0400 (Eastern Daylight Time),Mon Feb 24 2020 00:00:00 GMT-0500 (Eastern Standard Time),,True,,,,,,,,,Not a DBE,,,Thu Nov 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Wed Oct 23 2019 14:32:21 GMT-0400 (Eastern Daylight Time),Fri Jun 26 2020 13:43:24 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 14:22:39 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Aug 11 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,2746.0,New Bedford,Bristol,41.778329,-71.102131,Southeast and Cape,,MA,41.656209,-70.921019,,3/22/2024,"Southcoast Apothecary, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,12/6/2021,COMPLETE,MR282815,"Pure Lowell, Inc.",Lowell,1852.0,,,673 â 681 Rogers Street,,Lowell,MA,1852,POINT (-71.275566 42.459085),POINT (-71.281068 42.6303580),673-681 Rogers St,,Lowell,MA,1852,84-4143646,MRN282815,Thu Jun 25 2020 09:39:51 GMT-0400 (Eastern Daylight Time),Mon Jun 29 2020 09:24:08 GMT-0400 (Eastern Daylight Time),Mon Sep 14 2020 11:05:02 GMT-0400 (Eastern Daylight Time),True,no,,,,,,,,Not a DBE,,,Thu Nov 18 2021 03:00:00 GMT-0500 (Eastern Standard Time),Wed Jun 26 2019 17:53:32 GMT-0400 (Eastern Daylight Time),Wed Jul 29 2020 12:28:54 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 13:30:46 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Sep 14 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,1852.0,Lowell,Middlesex,42.459085,-71.275566,Northeast,,MA,42.630358,-71.281068,,3/22/2024,"Pure Lowell, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,6/7/2022,COMPLETE,MR283179,"Western Front, LLC",Cambridge,2139.0,,,699 Boylston Street,12th Floor,Boston,MA,2116,POINT (-71.275566 42.459085),POINT (-71.102350 42.3649419),699 Boylston Street,12th Floor,Boston,MA,2116,82-5141599,MRN283179,Wed May 20 2020 11:40:33 GMT-0400 (Eastern Daylight Time),Mon May 18 2020 09:56:02 GMT-0400 (Eastern Daylight Time),Thu Oct 29 2020 11:09:52 GMT-0400 (Eastern Daylight Time),True,,,APPROVED,EE202211,EE202211,,,,Not a DBE,,,Thu May 12 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Dec 09 2019 20:17:28 GMT-0500 (Eastern Standard Time),Thu Jun 11 2020 13:02:01 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 14:51:33 GMT-0400 (Eastern Daylight Time),Thu Oct 12 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Oct 29 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,10000.0,2139.0,Cambridge,Middlesex,42.459085,-71.275566,Metro Boston,,MA,42.364942,-71.102351,,3/22/2024,"Western Front, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,COMMENCE OPS,2/13/2024,COMPLETE,MR282590,"DMS Trinity, LLC",Chelsea,2150.0,,,38 Gould Street,,Stoneham,MA,2180,POINT (-71.073493 42.334948),POINT (-71.046574 42.3961609),38 Gould Street,,Stoneham,MA,2180,83-4484332,MRN282590,Mon May 02 2022 14:48:44 GMT-0400 (Eastern Daylight Time),Wed Jan 05 2022 17:44:01 GMT-0500 (Eastern Standard Time),,True,yes,SE305470,,,,,,,"Woman-Owned Business | Lesbian, Gay, Bisexual, and Transgender Owned Business | Minority-Owned Business",,,Thu Jan 11 2024 03:00:00 GMT-0500 (Eastern Standard Time),Tue Apr 09 2019 13:15:22 GMT-0400 (Eastern Daylight Time),Fri May 27 2022 06:45:32 GMT-0400 (Eastern Daylight Time),Thu Aug 11 2022 11:48:10 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Aug 22 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,5000.0,2150.0,Chelsea,Suffolk,42.334948,-71.073493,Metro Boston,,MA,42.396161,-71.046574,,3/22/2024,"DMS Trinity, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,,COMPLETE,MR284839,GVLP Corporation,Chelsea,2150.0,,,320 Revere Beach Parkway,,Chelsea,MA,2150,POINT (-71.073493 42.334948),POINT (-71.029608 42.4047709),311 Dale Street,,North Andover,MA,1845,87-3577419,MRN284839,Fri Mar 03 2023 07:35:08 GMT-0500 (Eastern Standard Time),Mon Jan 30 2023 16:30:44 GMT-0500 (Eastern Standard Time),Mon Jun 19 2023 11:41:05 GMT-0400 (Eastern Daylight Time),True,no,,,,,,,,Not a DBE,,,,Fri Dec 16 2022 13:22:24 GMT-0500 (Eastern Standard Time),Fri Mar 03 2023 10:47:30 GMT-0500 (Eastern Standard Time),Thu May 11 2023 14:18:01 GMT-0400 (Eastern Daylight Time),Mon Jun 19 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jun 19 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,2150.0,Chelsea,Suffolk,42.334948,-71.073493,Metro Boston,,MA,42.404771,-71.029609,,3/22/2024,GVLP Corporation,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,COMMENCE OPS,6/28/2023,COMPLETE,MR284602,High Street Cannabis Group LLC,Boston,2110.0,,,200 High Street,,Boston,MA,2109,POINT (-71.073493 42.334948),POINT (-71.051990 42.3567749),323 Maple Street,,Lynn,MA,1904,87-1030882,MRN284602,Thu May 05 2022 18:34:16 GMT-0400 (Eastern Daylight Time),Tue Mar 29 2022 08:57:30 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Not a DBE,,,Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Mar 02 2022 13:21:04 GMT-0500 (Eastern Standard Time),Fri May 27 2022 06:55:21 GMT-0400 (Eastern Daylight Time),Thu Aug 11 2022 11:49:32 GMT-0400 (Eastern Daylight Time),Thu Oct 12 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Oct 18 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,2110.0,Boston,Suffolk,42.334948,-71.073493,Metro Boston,,MA,42.356775,-71.05199,SE305529,3/22/2024,High Street Cannabis Group LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,5/11/2021,COMPLETE,MR283193,The Healing Center LLC,Fitchburg,1420.0,,,346 River Street,,Fitchburg,MA,1450,POINT (-71.840209 42.329642),POINT (-71.819103 42.5819770),228 Lewis Wharf,,Boston,MA,2110,83-0685209,MRN283193,Tue Aug 04 2020 15:04:17 GMT-0400 (Eastern Daylight Time),Fri Apr 10 2020 00:00:00 GMT-0400 (Eastern Daylight Time),,True,,,,,,,,,Not a DBE,,,Fri Apr 16 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Dec 20 2019 17:30:13 GMT-0500 (Eastern Standard Time),Thu Aug 06 2020 11:02:08 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 13:55:20 GMT-0400 (Eastern Daylight Time),Thu Nov 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Wed Nov 13 2024 03:00:00 GMT-0500 (Eastern Standard Time),1500.0,10000.0,1420.0,Fitchburg,Worcester,42.329642,-71.840209,Central MA,,MA,42.581977,-71.819104,,3/22/2024,The Healing Center LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,,COMPLETE,MR283093,Green River Cannabis Company Inc.,Attleboro,2703.0,,,1815 County Street,,Attleboro,MA,2703,POINT (-71.102131 41.778329),POINT (-71.338803 41.90305),30 Washington St.,,Attleboro,MA,2703,83-3185115,MRN283093,Thu Apr 15 2021 23:35:24 GMT-0400 (Eastern Daylight Time),Thu Jun 04 2020 14:50:11 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Not a DBE,,,,Wed Oct 30 2019 11:14:19 GMT-0400 (Eastern Daylight Time),Fri Apr 16 2021 08:32:25 GMT-0400 (Eastern Daylight Time),Tue Jun 22 2021 10:56:02 GMT-0400 (Eastern Daylight Time),Wed Nov 24 2021 03:00:00 GMT-0500 (Eastern Standard Time),Thu Nov 24 2022 03:00:00 GMT-0500 (Eastern Standard Time),1500.0,10000.0,2703.0,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,,MA,41.90305,-71.338804,,3/22/2024,Green River Cannabis Company Inc.,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,11/29/2022,COMPLETE,MR283126,Holistic Health Group Inc,Middleborough,2346.0,,,477 Wareham Street,,Middleboro,MA,2346,POINT (-70.818958 41.978877),POINT (-70.839715 41.8410349),477 Wareham St,,Middleboro,MA,2346,81-2188298,MRN283126,Fri May 13 2022 12:49:54 GMT-0400 (Eastern Daylight Time),Wed Dec 04 2019 00:00:00 GMT-0500 (Eastern Standard Time),,True,,,,,,APPROVED,RP201867,rpa201867,Not a DBE,,,Thu Nov 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Fri Nov 15 2019 18:36:58 GMT-0500 (Eastern Standard Time),Fri May 27 2022 07:30:12 GMT-0400 (Eastern Daylight Time),Thu Aug 11 2022 11:49:48 GMT-0400 (Eastern Daylight Time),Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Sep 18 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,2346.0,Middleboro,Plymouth,41.978877,-70.818958,,,MA,41.841035,-70.839716,SE305532,3/22/2024,Holistic Health Group Inc,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,PROVISIONAL LICENSE,,COMPLETE,MR282991,"Green Leaf Health, Inc",North Attleborough,2760.0,,,91 George Leven Drive,,North Attleboro,MA,2760,POINT (-71.102131 41.778329),POINT (-71.304457 42.0055090),91 George Leven Drive,,North Attleboro,MA,2760,83-2992555,MRN282991,Mon Mar 30 2020 09:55:30 GMT-0400 (Eastern Daylight Time),Fri Feb 21 2020 00:00:00 GMT-0500 (Eastern Standard Time),Tue Jul 14 2020 10:39:05 GMT-0400 (Eastern Daylight Time),True,,,,,,,,,Woman-Owned Business,,,,Tue Sep 17 2019 11:28:22 GMT-0400 (Eastern Daylight Time),Tue Apr 07 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 09 2020 14:53:15 GMT-0400 (Eastern Daylight Time),Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 15 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,2760.0,North Attleboro,Bristol,41.778329,-71.102131,,,MA,42.005509,-71.304458,,3/22/2024,"Green Leaf Health, Inc",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,6/12/2020,COMPLETE,MR282588,"Old Planters of Cape Ann, Inc.",Rowley,1969.0,,,7 Jewett Hill Road,,Ipswich,MA,1938,POINT (-70.970827 42.635475),POINT (-70.907708 42.7130780),7 Jewett Hill Road,,Ipswich,MA,1938,81-1421538,MRN282588,Thu Aug 15 2019 23:26:16 GMT-0400 (Eastern Daylight Time),Fri Jun 14 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Jan 27 2020 15:25:45 GMT-0500 (Eastern Standard Time),True,,,,,,APPROVED,RP201971,RP201971,Not a DBE,,,Thu Apr 09 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Apr 08 2019 19:46:14 GMT-0400 (Eastern Daylight Time),Thu Sep 05 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Nov 07 2019 13:44:25 GMT-0500 (Eastern Standard Time),Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Sep 14 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,1969.0,Rowley,Essex,42.635475,-70.970827,Northeast,,MA,42.713078,-70.907708,,3/22/2024,"Old Planters of Cape Ann, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,,COMPLETE,MR283165,Ten-Ten LLC,Sheffield,1257.0,,,775 N. Main St,,Sheffield,MA,1257,POINT (-73.209889 42.396128),POINT (-73.361320 42.1256369),54 Nelson Ave Ext,,Saratoga Springs,NY,12866,83-1989850,MRN283165,Thu Apr 16 2020 15:12:15 GMT-0400 (Eastern Daylight Time),Fri Apr 03 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 27 2020 16:08:15 GMT-0400 (Eastern Daylight Time),True,,,,,,,,,Not a DBE,,,,Wed Dec 04 2019 20:04:02 GMT-0500 (Eastern Standard Time),Tue May 26 2020 14:18:08 GMT-0400 (Eastern Daylight Time),Thu Jul 09 2020 15:52:01 GMT-0400 (Eastern Daylight Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Jul 27 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,1257.0,Sheffield,Berkshire,42.396128,-73.209889,Western MA,,MA,42.125637,-73.36132,,3/22/2024,Ten-Ten LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,PROVISIONAL LICENSE,,COMPLETE,MR283974,"Nuestra, LLC",Newton,2464.0,,,198 Tremont Street,Suite 228,Boston,MA,2116,POINT (-71.275566 42.459085),POINT (-71.187882 42.3534099),198 Tremont Street,,Boston,MA,2116,84-4886414,MRN283974,Tue Feb 23 2021 17:57:50 GMT-0500 (Eastern Standard Time),Thu Jan 28 2021 16:23:14 GMT-0500 (Eastern Standard Time),Fri Jun 25 2021 12:32:53 GMT-0400 (Eastern Daylight Time),True,yes,EE202121,APPROVED,EE202121,EE202121,,,,Not a DBE,,,,Wed Dec 16 2020 14:38:21 GMT-0500 (Eastern Standard Time),Fri Feb 26 2021 15:38:57 GMT-0500 (Eastern Standard Time),Fri Apr 16 2021 13:56:17 GMT-0400 (Eastern Daylight Time),Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Jun 25 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,5000.0,2464.0,Newton Upper Falls,Middlesex,42.459085,-71.275566,,,MA,42.35341,-71.187882,SE303833,3/22/2024,"Nuestra, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,FINAL LICENSE,,COMPLETE,MR284914,"Underground Legacy Social Club, LLC",Boston,2126.0,,,1379-1385 Blue Hill Avenue,,Boston,MA,2126,POINT (-71.073493 42.334948),POINT (-71.093890 42.2770810),26 JEFFERS STREET,,Boston,MA,2131,88-1390028,MRN284914,Wed Jul 26 2023 13:33:51 GMT-0400 (Eastern Daylight Time),Fri Jun 02 2023 09:12:12 GMT-0400 (Eastern Daylight Time),Wed Oct 18 2023 21:53:14 GMT-0400 (Eastern Daylight Time),True,yes,SE305137,,,,,,,Not a DBE,,,Thu Feb 08 2024 03:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 06 2023 12:28:52 GMT-0400 (Eastern Daylight Time),Fri Jul 28 2023 10:09:08 GMT-0400 (Eastern Daylight Time),Thu Oct 12 2023 12:53:37 GMT-0400 (Eastern Daylight Time),Wed Oct 18 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Oct 18 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,5000.0,2126.0,Mattapan,Suffolk,42.334948,-71.073493,,,MA,42.277081,-71.093891,SE305137,3/22/2024,"Underground Legacy Social Club, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,7/28/2023,COMPLETE,MR281657,"Atlantic Medicinal Partners, Inc.",Salem,1970.0,,,297 Highland Ave,,Salem,MA,1970,POINT (-70.970827 42.635475),POINT (-70.924031 42.5017849),329 Washington Street,,Woburn,MA,1801,82-0991316,MRN281657,Wed Feb 13 2019 16:56:59 GMT-0500 (Eastern Standard Time),Thu Jan 24 2019 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 18 2019 10:24:55 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201846,RP201846,Not a DBE,,,Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Jun 26 2018 17:51:15 GMT-0400 (Eastern Daylight Time),Thu Feb 14 2019 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 04 2019 16:30:02 GMT-0400 (Eastern Daylight Time),Thu Oct 12 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Oct 14 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,5000.0,1970.0,Salem,Essex,42.635475,-70.970827,Northeast,,MA,42.501785,-70.924032,,3/22/2024,"Atlantic Medicinal Partners, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,COMMENCE OPS,3/20/2023,COMPLETE,MR284113,"Advesa MA, Inc.",Cambridge,2141.0,,,966 Cambridge St.,,Cambridge,MA,2141,POINT (-71.275566 42.459085),POINT (-71.093181 42.3726419),966 Cambridge St.,,Cambridge,MA,2141,84-3412899,MRN284113,Fri Apr 09 2021 14:43:58 GMT-0400 (Eastern Daylight Time),Tue Apr 06 2021 14:24:33 GMT-0400 (Eastern Daylight Time),,True,yes,EE202234,APPROVED,EE202234,EE202234,,,,Not a DBE,,,Thu Feb 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Mon Feb 22 2021 09:15:23 GMT-0500 (Eastern Standard Time),Fri Apr 09 2021 11:11:07 GMT-0400 (Eastern Daylight Time),Thu May 13 2021 12:25:44 GMT-0400 (Eastern Daylight Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 15 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,5000.0,2141.0,Cambridge,Middlesex,42.459085,-71.275566,Metro Boston,,MA,42.372642,-71.093182,,3/22/2024,"Advesa MA, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,12/19/2023,COMPLETE,MR283234,"Green Choice Dispensaries, LLC",Blackstone,1504.0,,,114 Main Street,,Blackstone,MA,1504,POINT (-71.840209 42.329642),POINT (-71.537413 42.0189969),247 Old North Street,,Kingston,RI,2881,99-0101222,MRN283234,Mon Dec 20 2021 15:47:14 GMT-0500 (Eastern Standard Time),Mon Oct 25 2021 11:32:21 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Not a DBE,,,Thu Oct 12 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Jan 16 2020 12:12:29 GMT-0500 (Eastern Standard Time),Thu Dec 23 2021 13:29:09 GMT-0500 (Eastern Standard Time),Thu Mar 10 2022 13:54:35 GMT-0500 (Eastern Standard Time),Thu Mar 07 2024 03:00:00 GMT-0500 (Eastern Standard Time),Fri Mar 21 2025 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,1504.0,Blackstone,Worcester,42.329642,-71.840209,Central MA,,MA,42.018997,-71.537413,,3/22/2024,"Green Choice Dispensaries, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,PROVISIONAL LICENSE,,COMPLETE,MR282819,"Bask, Inc.",Taunton,2780.0,,,2 Pequod Road,,Fairhaven,MA,2719,POINT (-71.102131 41.778329),POINT (-71.134715 41.8859550),2 Pequod Road,,Fairhaven,MA,2719,46-3397060,MRN282819,Mon Dec 09 2019 15:56:46 GMT-0500 (Eastern Standard Time),Mon Aug 05 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jan 09 2020 16:40:49 GMT-0500 (Eastern Standard Time),True,,,,,,APPROVED,RP201988,RPA201988,Not a DBE,,,,Fri Jun 28 2019 16:30:20 GMT-0400 (Eastern Daylight Time),Thu Sep 05 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jan 09 2020 11:21:54 GMT-0500 (Eastern Standard Time),Thu Feb 08 2024 03:00:00 GMT-0500 (Eastern Standard Time),Tue Feb 11 2025 03:00:00 GMT-0500 (Eastern Standard Time),300.0,10000.0,2780.0,Taunton,Bristol,41.778329,-71.102131,Southeast and Cape,,MA,41.885955,-71.134715,SE305325,3/22/2024,"Bask, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,6/26/2023,COMPLETE,MR284246,"Revolutionary Clinics II, Inc.",Leominster,1453.0,,,"9 Bartlet Street, Suite 335",,Andover,MA,1810,POINT (-71.840209 42.329642),POINT (-71.711290 42.5304459),"9 Bartlet Street, Suite 335",,Andover,MA,1810,00-1330206,MRN284246,Thu Sep 09 2021 15:11:03 GMT-0400 (Eastern Daylight Time),Wed Aug 18 2021 14:01:20 GMT-0400 (Eastern Daylight Time),,True,no,,,,,APPROVED,RP201849,RP201849,Not a DBE | Veteran-Owned Business,,,Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sun May 16 2021 19:08:20 GMT-0400 (Eastern Daylight Time),Fri Sep 17 2021 09:17:46 GMT-0400 (Eastern Daylight Time),Thu Jan 20 2022 15:45:53 GMT-0500 (Eastern Standard Time),Thu Jan 11 2024 03:00:00 GMT-0500 (Eastern Standard Time),Fri Jan 17 2025 03:00:00 GMT-0500 (Eastern Standard Time),1500.0,10000.0,1453.0,Leominster,Worcester,42.329642,-71.840209,Central MA,,MA,42.530446,-71.71129,,3/22/2024,"Revolutionary Clinics II, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,1/18/2023,COMPLETE,MR282175,Green River Cannabis Company Inc,Greenfield,1301.0,,,398 Deerfield Street,,Greenfield,MA,1301,POINT (-72.573941 42.587072),POINT (-72.594617 42.5719080),30 Washington Street,,Attleboro,MA,2703,83-3185115,MRN282175,Mon Mar 02 2020 20:01:26 GMT-0500 (Eastern Standard Time),Thu Jan 09 2020 00:00:00 GMT-0500 (Eastern Standard Time),,True,,,,,,,,,Not a DBE,,,Thu Nov 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Thu Dec 13 2018 10:31:12 GMT-0500 (Eastern Standard Time),Thu Mar 05 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Jun 04 2020 14:16:07 GMT-0400 (Eastern Daylight Time),Thu Oct 12 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Oct 14 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,1301.0,Greenfield,Franklin,42.587072,-72.573941,Western MA,,MA,42.571908,-72.594618,,3/22/2024,Green River Cannabis Company Inc,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,COMMENCE OPS,11/22/2023,COMPLETE,MR283519,"JDM Sales, Inc.",Mendon,1756.0,,,220 Pulaski Boulevard,,Bellingham,MA,2019,POINT (-71.840209 42.329642),POINT (-71.579494 42.0964919),220 Pulaski Boulevard,,Bellingham,MA,2019,84-4333971,MRN283519,Fri Oct 30 2020 15:10:56 GMT-0400 (Eastern Daylight Time),Wed Jul 08 2020 08:58:30 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Minority-Owned Business,,,Thu Oct 12 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon May 11 2020 13:02:35 GMT-0400 (Eastern Daylight Time),Thu Nov 05 2020 11:21:52 GMT-0500 (Eastern Standard Time),Thu Jan 14 2021 15:31:17 GMT-0500 (Eastern Standard Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Jul 27 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,1756.0,Mendon,Worcester,42.329642,-71.840209,Central MA,,MA,42.096492,-71.579495,,3/22/2024,"JDM Sales, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
