license_number,business_legal_name,business_dba_name,Street,premise_city,premise_zip_code,data_refreshed_date,license_type,license_designation,Licensee Name,License #,Address,Residual Solvents,Microbials,Mycotoxins,id,license_status,licensing_authority_id,licensing_authority,premise_state,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_phone,business_email,business_image_url,premise_street_address,premise_county,premise_latitude,premise_longitude,business_website
402-00037,SOUTHWEST ALTERNATIVE CARE LLC,BONFIRE CANNABIS COMPANY,"24505 Highway 82, Unit 2A",Basalt,81621,2023-04-02,Stores,Adult-Use,,,,,,,402-00037,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00039,SUMMIT WELLNESS,DENREC DENVER RECREATIONAL DISPENSARY,2042 South Bannock Street,Denver,80223,2023-04-02,Stores,Adult-Use,,,,,,,402-00039,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 390-5070,,,2042 S Bannock St,Denver County,39.679332,-104.989814,http://denrec.com/
402-00294,BUILDING BETTER DAYS LLC,Reefer Madness,1995 South Broadway,Denver,80210,2023-04-02,Stores,Adult-Use,,,,,,,402-00294,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 322-3404,,,4401 E 46th Ave suite B,Denver County,39.78160919999999,-104.9364562,
402-00829,MEDICINAL WELLNESS CENTER LLC,OASIS CANNABIS SUPERSTORE,6359 East Evans Avenue,Denver,80222,2023-04-02,Stores,Adult-Use,,,,,,,402-00829,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 756-1494,,,6359 E Evans Ave,Denver County,39.678747,-104.9145173,https://www.oasissuperstore.com/
402-00370,TITAN HEALTH LLC,TWEEDLEAF,800 Park Avenue West,Denver,80205,2023-04-02,Stores,Adult-Use,,,,,,,402-00370,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 756-1414,,,800 Park Ave W,Denver County,39.7524073,-104.9849243,
402-00751,3B-FEDERAL1 LLC,BUDDY BOY,155 North Federal Boulevard,Denver,80219,2023-04-02,Stores,Adult-Use,,,,,,,402-00751,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 787-4909,,,2949 W Alameda Ave,Denver County,39.711498,-105.0244858,https://frostdenverdispensary.com/
402-00746,3B-UMATILLA LLC,BUDDY BOY,777 North Umatilla Street,Denver,80204,2023-04-02,Stores,Adult-Use,,,,,,,402-00746,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 953-0884,,,1620 Market St,Denver County,39.7500519,-104.9976159,https://highlevelhealth.com/market/?utm_source=gmb&utm_campaign=dispenza
402-00947,NATIONAL GREEN SOURCE LLC,The Green Source,975 West Fillmore Street,Colorado Springs,80907,2023-04-02,Stores,Adult-Use,,,,,,,402-00947,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 633-1300,,,975 W Fillmore St,El Paso County,38.87611,-104.8387595,https://www.nationalgreensource.com/?utm_source=google&utm_medium=organic&utm_campaign=fillmore
402-00455,11761013 COLORADO HOLDINGS LLC,A Cut Above,1911 South Broadway,Denver,80210,2023-04-02,Stores,Adult-Use,,,,,,,402-00455,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 536-8965,,,1911 S Broadway,Denver County,39.6818646,-104.9880961,https://acutabovedenver.wm.store/?locationId=6736&page=1
402-00374,JET BLACK ENTERPRISES LLC,LEIFFA,6900 West Colfax Avenue,Lakewood,80214,2023-04-02,Stores,Adult-Use,,,,,,,402-00374,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 233-3901,,,6900 W Colfax Ave,Jefferson County,39.7398684,-105.0735089,https://leiffa.com/
402-00766,EMERALD CITY WELLNESS LLC,EMERALD CITY WELLNESS,621 West Colorado Avenue,Colorado Springs,80905,2023-04-02,Stores,Adult-Use,,,,,,,402-00766,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 358-6955,,,621 W Colorado Ave,El Paso County,38.8324959,-104.837071,https://weedmaps.com/dispensaries/emerald-city-wellness
402-00918,ROCKY ROAD REMEDIES LLC,ROCKY ROAD SOUTH,4335 East Platte Avenue,Colorado Springs,80915,2023-04-02,Stores,Adult-Use,,,,,,,402-00918,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 574-4230,,,4335 E Platte Ave,El Paso County,38.83901599999999,-104.746751,https://rockyroad.com/
402-00935,MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,523 South Tejon Street,Colorado Springs,80903,2023-04-02,Stores,Adult-Use,,,,,,,402-00935,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 313-9841,,,523 S Tejon St,El Paso County,38.8259444,-104.8237583,https://altitudeorganic.com/medical/home/
402-00891,NUTRITIONAL ELEMENTS LLC,THE HEALTH CENTER,2777 South Colorado Boulevard,Denver,80222,2023-04-02,Stores,Adult-Use,,,,,,,402-00891,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 758-9997,,,2777 S Colorado Blvd,Denver County,39.6658563,-104.9410363,https://www.thchealth.com/colorado-dispensary-locations/denver-university-hills-dispensary/
402-00910,PUEBLO WEST ORGANICS LLC,Pueblo West Organics,"609 East Enterprise Drive, Suite 140",Pueblo West,81007,2023-04-02,Stores,Adult-Use,,,,,,,402-00910,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 647-2043,,,609 E Enterprise Dr #140,Pueblo County,38.3291548,-104.7176158,
402-01084,RJJ ACADEMY LLC,NATIVE ROOTS ACADEMY,1003 North Academy Boulevard,Colorado Springs,80909,2023-04-02,Stores,Adult-Use,,,,,,,402-01084,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 550-0327,,,1003 N Academy Blvd,El Paso County,38.8475,-104.7569444,https://nativerootscannabis.com/
402-00558,MAYFLOWER GROUP LLC,THE HEALTH CENTER,1736 North Downing Street,Denver,80218,2023-04-02,Stores,Adult-Use,,,,,,,402-00558,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 758-9997,,,1736 N Downing St,Denver County,39.74397340000001,-104.9731577,https://www.thchealth.com/colorado-dispensary-locations/denver-uptown-city-page/
402-00940,LIVWELL XVI LLC,LivWell,"3600 South Wadsworth Boulevard, Units C D & E",Lakewood,80235,2023-04-02,Stores,Adult-Use,,,,,,,402-00940,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 484-8853,,,3600 S Wadsworth Blvd,Jefferson County,39.64943160000001,-105.0807213,https://livwell.com/locations/colorado/lakewood
402-00062,NATURES HERBS & WELLNESS CENTER,Natures Herbs & Wellness Center,540 27th Street,Garden City,80631,2023-04-02,Stores,Adult-Use,,,,,,,402-00062,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 573-5087,,,540 27th St,Weld County,40.3943383,-104.6865445,https://naturesherbsandwellness.com/
402-00925,KIND LOVE LLC,KIND LOVE,4380 East Alameda Avenue,Glendale,80246,2023-04-02,Stores,Adult-Use,,,,,,,402-00925,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 390-3600,,,4380 E Alameda Ave,Denver County,39.7109732,-104.9364597,https://www.kindlove.com/
402-01042,RJJ COLORADO SPRINGS LLC,NATIVE ROOTS COLORADO SPRINGS,3660 Austin Bluffs Parkway,Colorado Springs,80918,2023-04-02,Stores,Adult-Use,,,,,,,402-01042,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 528-7143,,,3660 Austin Bluffs Pkwy,El Paso County,38.89118939999999,-104.7587746,https://nativerootscannabis.com/locations/austin-bluffs-marijuana-dispensary
402-00481,D AND C MEDICAL MARIJUANA LLC,GOLDEN LEAF,1755 Lincoln Avenue,Steamboat Springs,80487,2023-04-02,Stores,Adult-Use,,,,,,,402-00481,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 870-2941,,,1755 Lincoln Ave,Routt County,40.4970425,-106.8539942,http://goldenleaf.co/
402-00584,THE HEALING CANNA LLC,None,3692 East Bijou Street,Colorado Springs,80909,2023-04-02,Stores,Adult-Use,,,,,,,402-00584,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 591-2609,,,3700 Galley Rd,El Paso County,38.84727789999999,-104.7595781,http://www.elifenetwork.com/
402-00249,TWOG-YORK LLC,BUDDY BOY,5050 North York Street,Denver,80216,2023-04-02,Stores,Adult-Use,,,,,,,402-00249,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,3461 Ringsby Ct,Denver County,39.77232999999999,-104.9837852,
402-00690,TWOG-FEDERAL LLC,BUDDY BOY,2426 South Federal Boulevard,Denver,80219,2023-04-02,Stores,Adult-Use,,,,,,,402-00690,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 787-4909,,,2949 W Alameda Ave,Denver County,39.711498,-105.0244858,https://frostdenverdispensary.com/
402-00118,TWOG-WALNUT LLC,BUDDY BOY,3814 Walnut Street,Denver,80205,2023-04-02,Stores,Adult-Use,,,,,,,402-00118,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,3461 Ringsby Ct,Denver County,39.77232999999999,-104.9837852,
402-00714,C4 CO LLC,Doctors Orders,1406 West 38th Avenue,Denver,80211,2023-04-02,Stores,Adult-Use,,,,,,,402-00714,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 433-0276,,,1406 W 38th Ave,Denver County,39.7691536,-105.0033181,http://www.doctorsordersdenver.com/
402-00088,FUTUREVISION LTD,Medicine Man,4750 North Nome Street,Denver,80239,2023-04-02,Stores,Adult-Use,,,,,,,402-00088,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 373-0752,,,4750 Nome St,Denver County,39.7835653,-104.8523475,https://www.medicinemandenver.com/
402-00893,J&R PARTNERS LLC,Native Roots Vail,"41290 Highway 6, Unit B5",Avon,81620,2023-04-02,Stores,Adult-Use,,,,,,,402-00893,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 470-4079,,,41290 US-6 b5,Eagle County,39.620575,-106.469615,https://nativerootscannabis.com/locations/eagle-vail-marijuana-dispensary
402-00069,MARI MEDS INC,MARI MEDS,222 East Moreno Avenue,Colorado Springs,80903,2023-04-02,Stores,Adult-Use,,,,,,,402-00069,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 310-4030,,,222 E Moreno Ave,El Paso County,38.8256182,-104.8210026,
402-00260,PIONEER INTERESTS SHERIDAN LLC,Lova Edgewater,"2045 Sheridan Boulevard, Unit B",Edgewater,80214,2023-04-02,Stores,Adult-Use,,,,,,,402-00260,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 274-6495,,,2045 Sheridan Boulevard B,Jefferson County,39.7486068,-105.0537164,http://www.lovaco.com/
402-01144,PI HOLDINGS INC,The Chronic Boutique,325 East Pikes Peak Avenue,Colorado Springs,80902,2023-04-02,Stores,Adult-Use,,,,,,,402-01144,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 203-5637,,,325 E Pikes Peak Ave,El Paso County,38.83347029999999,-104.8189002,http://www.thechronicboutique.com/
402-00793,RINO SUPPLY CO INC,Rino Supply Company,3100 Blake Street,Denver,80205,2023-04-02,Stores,Adult-Use,,,,,,,402-00793,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 296-2680,,,3100 Blake St,Denver County,39.7645557,-104.9807978,https://www.rinosupply.com/
402-00973,NATURES HERBS & WELLNESS CENTER II LLC,None,17224 North Frontage Road,Log Lane Village,80705,2023-04-02,Stores,Adult-Use,,,,,,,402-00973,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 867-1282,,,17280 N Frontage Rd,Morgan County,40.2665629,-103.8242548,https://www.highplainzstrains.com/
402-01291,ROCKY FORD STATION LLC,The Station,1701 Elm Avenue,Rocky Ford,81067,2023-04-02,Stores,Adult-Use,,,,,,,402-01291,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 383-2080,,,1701 Elm Ave,Otero County,38.04940359999999,-103.7103418,https://thestationrf.com/
402-00861,DP RETAIL 100 LLC,Green Dragon,"804 South College Avenue, Suite C",Fort Collins,80524,2023-04-02,Stores,Adult-Use,,,,,,,402-00861,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 225-5420,,,813 Smithfield Dr,Larimer County,40.57798719999999,-105.0036022,https://greendragon.com/locations/fort-collins-smithfield-drive/
402-00830,STONE T.M.C. LLC,The Stone,4842 Morrison Road Unit 420,Denver,80219,2023-04-02,Stores,Adult-Use,,,,,,,402-00830,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 881-5415,,,4842 Morrison Rd,Denver County,39.69941419999999,-105.0490422,https://www.thestone.com/
402-00533,BBM ENTERPRISES LLC,Helping Hands Cannabis,"1021 Pearl Street, Unit B",Boulder,80302,2023-04-02,Stores,Adult-Use,,,,,,,402-00533,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 444-1564,,,1021 Pearl St,Boulder County,40.0175989,-105.2820474,https://helpinghandscannabis.com/
402-00513,WELLNESS CENTERS OF COLORADO LLC,EmJ'S,2918 Wood Avenue,Colorado Springs,80907,2023-04-02,Stores,Adult-Use,,,,,,,402-00513,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 375-1907,,,2918 Wood Ave,El Paso County,38.8741417,-104.8261729,https://a-wellness-centers.business.site/?utm_source=gmb&utm_medium=referral
402-00763,GRIM FARMS LLC,None,3031 East Platte Avenue,Colorado Springs,80909,2023-04-02,Stores,Adult-Use,,,,,,,402-00763,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 591-2609,,,3700 Galley Rd,El Paso County,38.84727789999999,-104.7595781,http://www.elifenetwork.com/
402-00696,EZ NATURAL ALTERNATIVES LLC,Herb's Place,"3475 Pine Tree Square, Suite E",Colorado Springs,80909,2023-04-02,Stores,Adult-Use,,,,,,,402-00696,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 694-9384,,,3475 Pine Tree Square,El Paso County,38.8364846,-104.7678659,
402-00193,THE GIVING TREE OF DENVER LLC,None,2707 West 38th Avenue,Denver,80211,2023-04-02,Stores,Adult-Use,,,,,,,402-00193,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 532-0757,,,1225 Logan St,Denver County,39.7355919,-104.9825902,https://barnundenver.com/
402-00998,DENVER PATIENTS GROUP LLC,LivWell,2863 Larimer Street,Denver,80205,2023-04-02,Stores,Adult-Use,,,,,,,402-00998,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 484-1662,,,2863 Larimer St,Denver County,39.7613598,-104.9820346,https://livwell.com/locations/colorado/rino-denver
402-00346,PURE MEDICAL LLC,Pure,8025 North Academy Boulevard,Colorado Springs,80920,2023-04-02,Stores,Adult-Use,,,,,,,402-00346,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 634-7390,,,8025 N Academy Blvd,El Paso County,38.94807389999999,-104.8013012,http://pure719.com/
402-00703,LIVWELL X LLC,LivWell,5926 East Colfax Avenue,Denver,80220,2023-04-02,Stores,Adult-Use,,,,,,,402-00703,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 573-6337,,,5926 E Colfax Ave,Denver County,39.7399561,-104.9187636,https://livwell.com/locations/colorado/park-hill-denver
402-00800,GRANT PHARMS LLC,Grant Pharms MMC,1591 East Cheyenne Mountain Boulevard,Colorado Springs,80906,2023-04-02,Stores,Adult-Use,,,,,,,402-00800,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 387-1633,,,320 Prairie Rd,El Paso County,38.8378901,-104.7876444,https://grantpharms.com/
402-00583,GM BROADWAY LLC,Golden Meds,1755 South Broadway,Denver,80210,2023-04-02,Stores,Adult-Use,,,,,,,402-00583,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 583-2119,,,1755 S Broadway,Denver County,39.68471270000001,-104.9877515,https://goldenmedsco.com/location-broadway-co/
402-00405,LIGHTSHADE LABS LLC,Lightshade,330 South Dayton Street,Denver,80247,2023-04-02,Stores,Adult-Use,,,,,,,402-00405,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 699-2690,,,330 S Dayton St,Arapahoe County,39.7083135,-104.8748934,https://lightshade.com/dispensaries/dayton-denver/?utm_medium=organic&utm_source=gbp&utm_campaign=website
402-01097,ADAMS GREEN CROSSING LLC,The Chronic Boutique,3640 West Colorado Avenue,Colorado Springs,80904,2023-04-02,Stores,Adult-Use,,,,,,,402-01097,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 203-5637,,,325 E Pikes Peak Ave,El Paso County,38.83347029999999,-104.8189002,http://www.thechronicboutique.com/
402-00825,MOCO VENTURES LLC,Horizon Cannabis,6745 West Mississippi Avenue ,Lakewood,80226,2023-04-02,Stores,Adult-Use,,,,,,,402-00825,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 593-1942,,,6745 W Mississippi Ave,Jefferson County,39.6963534,-105.070934,https://www.horizoncannabis.com/
402-00041,HG LTD,Higher Grade,3111 West 38th Avenue,Denver,80211,2023-04-02,Stores,Adult-Use,,,,,,,402-00041,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 955-0186,,,3111 W 38th Ave,Denver County,39.7695844,-105.0280535,https://www.highergradeco.com/highlands-medical-dispensary
402-00146,CHOICE ORGANICS INC,Green Dragon,"813 Smithfield Drive, Units A & B",Fort Collins,80524,2023-04-02,Stores,Adult-Use,,,,,,,402-00146,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 225-5420,,,813 Smithfield Dr,Larimer County,40.57798719999999,-105.0036022,https://greendragon.com/locations/fort-collins-smithfield-drive/
402-01221,LIGHTSHADE LABS LLC,Lightshade,12075 East 40th Avenue,Denver,80239,2023-04-02,Stores,Adult-Use,,,,,,,402-01221,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 974-7220,,,12075 E 40th Ave,Denver County,39.7731278,-104.8484812,https://lightshade.com/dispensaries/peoria-denver/?utm_medium=organic&utm_source=gbp&utm_campaign=website
402-01130,MODERN MEDICINE LLC,Altitude Organic Medicine,3840 North Nevada Avenue,Colorado Springs,80907,2023-04-02,Stores,Adult-Use,,,,,,,402-01130,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 445-0136,,,3840 N Nevada Ave,El Paso County,38.8879137,-104.8195983,https://altitudeorganic.com/medical/home/
402-00376,GM BROADWAY LLC,Golden Meds,330 North Federal Boulevard,Denver,80219,2023-04-02,Stores,Adult-Use,,,,,,,402-00376,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 583-0194,,,330 Federal Blvd,Denver County,39.7217702,-105.0248622,https://goldenmedsco.com/location-federal-blvd-co/
402-01078,DR RELEAF INC,None,815 Wooten Road,Colorado Springs,80915,2023-04-02,Stores,Adult-Use,,,,,,,402-01078,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 574-3717,,,1045 Ford St,El Paso County,38.8469085,-104.7114486,http://www.sonsofnorwaycs.com/
402-01122,GREEN SATIVA LLC,None,"8411 Pecos Street, Unit G & H",Federal Heights,80260,2023-04-02,Stores,Adult-Use,,,,,,,402-01122,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 428-8833,,,2380 W 90th Ave,Adams County,39.8590759,-105.0154204,
402-00248,2306 N POWERS LLC,Hightops,"2306 North Powers Frontage Road, Suite 100",Colorado Springs,80915,2023-04-02,Stores,Adult-Use,,,,,,,402-00248,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 597-9333,,,2306 N Powers Blvd,El Paso County,38.8643667,-104.7209685,https://hightopscannabis.com/
402-00002,ALTERNATIVE MEDICINE ON CAPITOL HILL LLC,None,1301 North Marion Street,Denver,80218,2023-04-02,Stores,Adult-Use,,,,,,,402-00002,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 532-0757,,,1225 Logan St,Denver County,39.7355919,-104.9825902,https://barnundenver.com/
402-01014,THE CHRONIC FACTORY LLC,The Chronic Factory,150 North Rio Grande Boulevard ,Denver,80223,2023-04-02,Stores,Adult-Use,,,,,,,402-01014,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 284-7015,,,150 Rio Grande Blvd,Denver County,39.71906320000001,-105.0037198,https://tcfco.com/
402-01335,PI DURANGO LLC,Lova Durango,"1135 South Camino Del Rio Drive, #220",Durango,81303,2023-04-02,Stores,Adult-Use,,,,,,,402-01335,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 422-8029,,,1135 S Camino Del Rio Suite 220,La Plata County,37.2318244,-107.8667636,http://www.lovaco.com/
402-00898,LGK LLC,Strawberry Fields,"3435 South Yosemite Street, Suite 200",Denver,80231,2023-04-02,Stores,Adult-Use,,,,,,,402-00898,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 751-7888,,,3435 S Yosemite St,Denver County,39.6547937,-104.8851875,https://strawberryfieldscannabis.com/recreational-cannabis-dispensary-denver/
402-00666,LIVWELL III LLC,Livwell,1941 West Evans Avenue,Denver,80223,2023-04-02,Stores,Adult-Use,,,,,,,402-00666,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 361-2981,,,1941 W Evans Ave,Denver County,39.6790712,-105.0103926,https://livwell.com/locations/colorado/evans-denver
402-00429,KGBI COLORADO LLC,SPARK Dispensary,3900 East 48th Avenue,Denver,80216,2023-04-02,Stores,Adult-Use,,,,,,,402-00429,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 573-4800,,,4799 N Colorado Blvd,Denver County,39.7836111,-104.941559,https://www.sparkdispensary.com/
402-00956,WELLNESS CENTER OF THE ROCKIES INC,The Center,6853 Leetsdale Drive,Denver,80224,2023-04-02,Stores,Adult-Use,,,,,,,402-00956,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 941-8872,,,6853 Leetsdale Dr,Denver County,39.7012787,-104.9087227,https://thecenterco.com/
402-01330,AF INC,Apothecary Farms,414 West Garden of the Gods Road,Colorado Springs,80918,2023-04-02,Stores,Adult-Use,,,,,,,402-01330,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 301-1551,,,414 Garden of the Gods Rd,El Paso County,38.89736829999999,-104.8282932,http://www.apothecaryfarms.com/
402-00090,ORIGINAL CANNABIS GROWERS LLC,None,2625 East Saint Vrain Street,Colorado Springs,80909,2023-04-02,Stores,Adult-Use,,,,,,,402-00090,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 591-2609,,,3700 Galley Rd,El Paso County,38.84727789999999,-104.7595781,http://www.elifenetwork.com/
402-00842,SOLACE MEDS LLC,None,"301 Smokey Street, Unit A",Fort Collins,80525,2023-04-02,Stores,Adult-Use,,,,,,,402-00842,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 229-6161,,,3300 S College Ave Suite 180,Larimer County,40.5414059,-105.0764181,https://www.nothingbundtcakes.com/?bakery=206?utm_source=gbplisting&utm_medium=organic&utm_campaign=website_link
402-00949,CC TRINIDAD LLC,Trinidad Gardens,422 North Commercial Street,Trinidad,81082,2023-04-02,Stores,Adult-Use,,,,,,,402-00949,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 422-8298,,,422 N Commercial St,Las Animas County,37.17186249999999,-104.5069778,https://www.trinidadgardens.com/
402-00012,GM 2280 LLC,Golden Meds,"2280 South Quebec Street, Unit G",Denver,80231,2023-04-02,Stores,Adult-Use,,,,,,,402-00012,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 428-8352,,,2280 S Quebec St,Denver County,39.67491719999999,-104.9026134,https://goldenmedsco.com/location-quebec-st-co/
402-01251,IGADI LTD,IgadI,1325 South Public Road,Lafayette,80026,2023-04-02,Stores,Adult-Use,,,,,,,402-01251,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 862-7457,,,1325 S Public Rd,Boulder County,39.9858333,-105.0911111,https://igadiltd.com/lafayette?utm_source=terrayn_gbp&utm_medium=organic&utm_campaign=lafayette
402-01079,BK HOLDINGS LLC,The Herbal Center,1909 South Broadway,Denver,80210,2023-04-02,Stores,Adult-Use,,,,,,,402-01079,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 549-4372,,,1909 S Broadway,Denver County,39.681847,-104.98788,https://theherbalcenter.store/
402-00868,NATIONAL GREEN SOURCE LLC,The Green Source,2103 East Platte Avenue,Colorado Springs,80909,2023-04-02,Stores,Adult-Use,,,,,,,402-00868,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 302-2032,,,2103 E Platte Ave,El Paso County,38.8368415,-104.7896316,https://www.nationalgreensource.com/?utm_source=google&utm_medium=organic&utm_campaign=platte
402-00406,SISTEM COS1 LLC,Silver Stem Fine Cannabis,5156 Centennial Boulevard,Colorado Springs,80918,2023-04-02,Stores,Adult-Use,,,,,,,402-00406,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 308-2175,,,5156 Centennial Blvd,El Paso County,38.9050843,-104.8639552,https://silverstemcannabis.com/dispensaries/garden-of-the-gods-colorado-springs
402-00966,CORRIDOR 70 LLC,Everbloom,"1150 Railroad Avenue, Units A and B",Rifle,81650,2023-04-02,Stores,Adult-Use,,,,,,,402-00966,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 233-8895,,,1150 Railroad Ave,Garfield County,39.5402886,-107.7832172,http://theeverbloom.wm.store/
402-00403,RD INDUSTRIES II LLC,House of Dankness,10555 East 45th Avenue,Denver,80239,2023-04-02,Stores,Adult-Use,,,,,,,402-00403,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 373-7373,,,10555 E 45th Ave,Denver County,39.779246,-104.8645624,https://www.houseofdankness.com/
402-00116,1022 S ROYER LLC,Hightops,1022 South Royer Street,Colorado Springs,80903,2023-04-02,Stores,Adult-Use,,,,,,,402-00116,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 473-0279,,,1022 S Royer St,El Paso County,38.8193431,-104.8158599,https://hightopscannabis.com/
402-00959,SPFF COLO LLC,COS CONFIDENTIAL,3044 West Colorado Avenue,Colorado Springs,80904,2023-04-02,Stores,Adult-Use,,,,,,,402-00959,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 434-1050,,,3044 W Colorado Ave,El Paso County,38.85326209999999,-104.8717168,http://confidentialdispensary.com/
402-00551,GREEN MEDICINE LLC,Green Medicine Wellness,1030 Grand Avenue,Glenwood Springs,81601,2023-04-02,Stores,Adult-Use,,,,,,,402-00551,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 384-2026,,,1030 Grand Ave,Garfield County,39.5429761,-107.3244924,http://thegreenjoint.com/green-medicine-wellness/
402-00313,HEALING HOUSE LAKEWOOD LLC,Ascend Cannabis Co.,10712 West Alameda Avenue,Lakewood,80226,2023-04-02,Stores,Adult-Use,,,,,,,402-00313,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 988-5255,,,10712 W Alameda Ave,Jefferson County,39.71032719999999,-105.1184217,http://ascendcannabisco.com/
402-00656,543 BRYANT STREET LLC,Golden Meds,543 Bryant Street,Denver,80204,2023-04-02,Stores,Adult-Use,,,,,,,402-00656,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 872-3959,,,543 Bryant St,Denver County,39.72466590000001,-105.0189909,https://snaxland.com/
